bldgarea,bldgdepth,builtfar,facilfar,lotarea,lotdepth,numbldgs,numfloors,resarea,residfar,age,count
4220.0,65.0,2.11,4.8,2000.0,100.0,1,4,4220.0,2.43,24,83
2068.0,50.0,1.31,2.0,1583.0,95.0,1,2,2068.0,1.35,119,22
2068.0,50.0,1.31,2.0,1583.0,95.0,1,2,2068.0,1.35,119,4
2640.0,30.0,1.11,2.0,2376.0,95.0,1,2,2640.0,1.35,119,7
3028.0,34.0,3.19,6.5,948.0,43.9,1,3,2314.0,3.44,179,225
3344.0,55.0,2.07,4.0,1613.0,80.0,1,3,2230.0,4.0,105,91
3036.0,46.0,1.8,3.0,1687.0,75.0,1,3,3036.0,3.0,14,29
2050.0,35.0,1.64,6.5,1248.0,70.0,1,3,2050.0,3.44,100,5
803.0,56.0,0.11,1.0,7596.0,107.0,1,1,803.0,0.5,95,21
560.0,45.0,0.21,2.0,2724.0,109.0,1,1,560.0,0.75,95,226
6560.0,67.0,4.0,6.5,1640.0,69.5,1,4,5060.0,6.02,213,27
6600.0,71.0,3.72,6.5,1775.0,71.0,1,4,4824.0,6.02,220,11
905.0,24.0,0.24,1.0,3742.0,100.0,2,1,905.0,0.5,119,1
5636.0,60.0,4.3,6.5,1309.0,63.5,1,5,5636.0,6.02,167,13
18450.0,58.0,8.4,6.5,2196.0,59.75,1,8,16450.0,6.02,148,110
7484.0,59.0,3.01,4.8,2484.0,100.0,1,5,5984.0,3.44,120,340
8500.0,85.0,3.72,15.0,2288.0,92.0,1,5,4250.0,10.0,208,8
14800.0,70.0,8.2,6.5,1804.0,74.0,1,8,13300.0,6.02,124,9
1624.0,51.0,0.71,1.0,2276.0,100.0,1,2,1624.0,0.5,2,229
3892.0,25.0,3.97,6.5,981.0,25.0,1,4,2400.0,6.02,135,1
21840.0,152.0,4.96,10.0,4400.0,152.1,1,5,13100.0,10.0,163,43
4216.0,48.0,3.56,6.5,1185.0,50.0,1,4,3214.0,6.02,148,17
2252.0,60.0,1.12,3.0,2015.0,115.0,1,2,1087.0,3.0,94,17
3780.0,63.0,1.89,4.8,2000.0,100.0,1,3,2520.0,2.43,89,1
2832.0,30.0,0.56,2.0,5092.0,100.0,1,3,2832.0,0.75,121,16
14900.0,76.5,7.29,6.5,2044.0,77.0,1,6,9500.0,6.02,124,42
18500.0,151.0,4.88,7.5,3788.0,150.9,1,5,14824.0,7.52,159,232
2660.0,33.0,2.67,10.0,998.0,51.16,1,2,1900.0,10.0,193,39
2080.0,33.0,2.14,10.0,971.0,52.0,1,2,1485.0,10.0,193,23
26500.0,109.0,5.56,6.5,4770.0,116.06,1,5,18500.0,6.02,160,106
5156.0,50.4,5.16,6.5,1000.0,50.4,1,6,4156.0,6.02,166,2
52000.0,165.0,6.83,15.0,7616.0,164.6,1,8,46200.0,10.0,118,93
9000.0,50.0,2.97,6.5,3030.0,49.9,1,2,4400.0,6.02,67,2
12664.0,107.7,5.34,6.5,2370.0,116.75,1,6,8600.0,6.02,160,76
18430.0,109.0,4.72,6.5,3908.0,116.5,1,6,14400.0,6.02,155,88
20370.0,66.7,4.91,6.5,4150.0,66.7,1,5,16370.0,6.02,154,3
14056.0,49.0,5.34,6.5,2630.0,50.0,1,5,11704.0,6.02,147,97
5400.0,90.0,2.7,4.8,2000.0,100.0,1,3,3600.0,2.43,89,54
33570.0,96.0,6.7,6.5,5010.0,100.06,1,7,21140.0,6.02,137,2
12584.0,100.0,5.03,10.0,2504.0,100.2,1,6,12584.0,10.0,132,104
11944.0,95.0,4.78,6.5,2500.0,100.0,1,5,9570.0,6.02,154,151
3944.0,49.38,1.97,2.0,2000.0,100.0,1,4,3944.0,2.0,15,7
11080.0,100.56,4.42,6.5,2510.0,100.56,1,6,11080.0,6.02,115,345
4132.0,75.0,3.36,6.5,1229.0,74.56,1,4,2858.0,6.02,201,53
14424.0,75.0,5.0,6.5,2884.0,75.0,1,5,12424.0,6.02,163,118
16540.0,58.0,5.74,6.5,2880.0,65.0,1,6,6920.0,6.02,154,7
5292.0,71.0,3.48,6.5,1520.0,76.25,1,4,3968.0,6.02,155,25
31070.0,100.0,6.09,6.5,5096.0,100.44,1,8,29100.0,6.02,126,302
15600.0,88.0,4.75,6.5,3286.0,87.75,1,6,15600.0,6.02,138,254
6500.0,83.0,3.93,6.5,1656.0,87.5,1,4,5300.0,6.02,128,19
11300.0,91.0,4.99,6.5,2264.0,91.3,1,5,11300.0,6.02,152,49
4084.0,53.0,3.0,6.5,1361.0,53.66,1,3,4084.0,6.02,112,103
7110.0,75.0,3.77,6.5,1884.0,75.0,1,4,5332.0,6.02,153,30
5148.0,66.0,1.28,4.8,4032.0,154.8,1,3,5148.0,3.44,89,13
8800.0,54.0,3.67,4.0,2400.0,101.0,1,3,4400.0,4.0,89,248
35600.0,100.0,6.58,6.5,5412.0,100.25,1,6,26100.0,6.02,131,107
6000.0,60.0,4.27,6.5,1404.0,63.5,1,4,6000.0,6.02,150,11
2850.0,25.0,3.0,6.5,950.0,25.42,1,2,2850.0,6.02,152,46
3914.0,54.0,2.04,4.0,1919.0,101.0,1,3,2622.0,4.0,89,110
19920.0,75.0,5.69,6.5,3500.0,75.0,1,6,16510.0,6.02,117,51
14900.0,60.0,5.89,6.5,2530.0,60.25,1,6,12590.0,6.02,128,299
3692.0,54.0,1.92,4.0,1919.0,101.0,1,3,2474.0,4.0,89,80
13400.0,93.0,4.29,6.5,3120.0,103.06,1,5,11400.0,6.02,152,49
9190.0,76.0,4.84,6.5,1900.0,76.0,1,5,9190.0,6.02,153,15
2000.0,55.0,1.0,2.0,2000.0,100.0,1,2,2000.0,1.25,121,115
8290.0,76.0,4.28,6.5,1939.0,76.25,1,5,6630.0,6.02,140,1
7100.0,76.0,4.4,6.5,1613.0,75.0,1,5,5700.0,6.02,152,31
21000.0,52.0,9.15,6.5,2296.0,52.4,1,8,15750.0,6.02,125,3
5610.0,48.0,5.0,6.5,1122.0,51.1,1,5,4490.0,6.02,152,5
10740.0,87.8,4.24,6.5,2536.0,107.06,1,5,8740.0,6.02,151,33
7170.0,60.0,4.94,6.5,1450.0,60.0,1,5,5720.0,6.02,168,32
3120.0,52.0,2.04,4.0,1530.0,79.2,1,3,2028.0,4.0,87,39
20000.0,75.0,5.06,6.5,3952.0,75.06,1,5,8000.0,6.02,151,409
6330.0,53.0,4.78,6.5,1325.0,52.0,1,5,5330.0,6.02,131,184
3300.0,55.0,2.01,2.0,1645.0,79.94,1,3,2212.0,2.0,89,33
14360.0,88.0,5.32,6.5,2700.0,87.56,1,6,11450.0,6.02,111,37
3192.0,50.0,2.0,2.0,1600.0,80.0,1,2,2116.0,1.25,119,9
9500.0,79.0,4.75,6.5,2000.0,80.0,1,5,7600.0,6.02,123,40
4000.0,100.0,2.18,2.0,1837.0,98.0,1,2,1000.0,1.25,89,4
1330.0,37.0,1.76,2.0,755.0,39.4,1,2,741.0,1.25,95,64
1254.0,37.0,1.77,2.0,709.0,37.0,1,2,1254.0,1.25,95,2
5500.0,54.0,1.92,4.0,2864.0,114.5,1,4,5500.0,4.0,175,165
5556.0,70.0,1.99,4.0,2796.0,114.5,1,4,5556.0,4.0,175,54
2450.0,50.0,1.29,2.0,1900.0,100.0,1,2,1225.0,1.25,90,20
4200.0,35.0,4.2,6.5,1000.0,50.0,1,3,2100.0,6.02,184,26
2748.0,47.0,1.45,4.0,1900.0,101.3,1,3,2748.0,4.0,181,5
2200.0,55.0,1.22,3.0,1800.0,90.0,1,2,1100.0,3.0,89,10
8240.0,65.0,3.63,4.0,2272.0,90.8,1,5,7436.0,4.0,181,17
1590.0,25.0,0.48,2.0,3300.0,100.0,1,2,1590.0,1.25,100,9
2720.0,68.0,1.24,3.0,2200.0,110.0,1,2,1360.0,3.0,89,182
13970.0,60.0,1.6,2.0,8744.0,109.3,3,3,12750.0,0.75,16,115
6800.0,100.0,3.0,4.0,2268.0,100.0,1,4,4536.0,4.0,140,5
5330.0,100.0,2.32,4.0,2300.0,100.0,1,4,3060.0,4.0,170,23
4252.0,18.0,4.0,4.0,1064.0,21.25,1,5,5400.0,4.0,183,76
16350.0,70.0,3.56,6.5,4590.0,85.0,1,4,7880.0,3.44,116,62
2540.0,62.0,1.24,2.0,2050.0,100.0,1,2,1270.0,1.25,89,86
7924.0,86.0,1.07,6.5,7372.0,100.0,1,1,3962.0,6.02,194,57
7510.0,50.0,3.08,4.0,2436.0,97.5,1,5,6012.0,4.0,159,7
16380.0,84.0,4.0,4.0,4096.0,111.75,1,6,13660.0,4.0,113,427
12020.0,100.0,5.01,4.0,2400.0,24.0,1,5,9620.0,4.0,146,51
2480.0,39.0,1.24,1.0,2000.0,100.0,1,3,2480.0,0.5,60,71
6824.0,50.0,4.14,4.0,1650.0,67.3,1,5,6824.0,4.0,149,69
7424.0,42.0,4.5,4.0,1650.0,50.0,1,5,7424.0,4.0,110,58
19890.0,86.0,4.1,4.0,4850.0,100.0,1,6,18740.0,4.0,116,3075
9420.0,87.0,3.77,4.0,2498.0,99.94,1,5,9420.0,4.0,127,3
1068.0,35.0,0.62,2.0,1725.0,70.3,2,2,1068.0,0.75,100,150
3024.0,67.0,0.76,1.0,4000.0,100.0,2,1,1512.0,0.5,95,601
6824.0,52.0,2.81,4.0,2424.0,97.0,1,5,5824.0,4.0,158,85
10230.0,76.0,4.65,4.0,2200.0,90.8,1,6,8230.0,4.0,123,5
10920.0,76.0,4.81,4.0,2272.0,90.8,1,6,8920.0,4.0,123,59
13840.0,76.0,4.06,4.0,3406.0,90.8,1,6,10910.0,4.0,168,30
6050.0,60.0,2.61,4.0,2312.0,92.5,1,4,6050.0,4.0,175,4
8370.0,52.0,3.45,4.0,2424.0,97.0,1,5,8370.0,4.0,156,31
8056.0,64.0,4.16,4.0,1938.0,75.0,1,5,7256.0,4.0,140,75
10000.0,80.0,4.16,4.0,2404.0,96.2,1,5,9000.0,4.0,133,53
13840.0,76.0,4.06,4.0,3406.0,90.8,1,6,10910.0,4.0,168,122
10860.0,86.0,3.83,4.0,2836.0,113.44,1,5,10860.0,4.0,168,1
11060.0,85.0,4.54,4.0,2438.0,97.5,1,6,10360.0,4.0,123,37
3840.0,59.0,2.83,4.0,1357.0,59.25,1,3,3840.0,4.0,184,7
2832.0,40.0,1.48,4.0,1908.0,92.3,1,3,2832.0,4.0,175,66
9630.0,76.0,4.24,4.0,2272.0,90.8,1,5,7860.0,4.0,145,1
7270.0,68.0,3.73,4.0,1950.0,75.0,1,5,5816.0,4.0,155,122
5480.0,50.0,3.27,4.0,1676.0,81.75,1,4,4110.0,4.0,167,16
16024.0,94.0,7.29,6.5,2200.0,100.0,1,7,10340.0,6.02,113,649
4600.0,78.5,2.81,6.5,1638.0,78.5,1,4,4600.0,6.02,184,55
3486.0,42.0,2.18,4.0,1600.0,80.8,1,3,2584.0,4.0,175,22
7884.0,80.0,4.93,4.0,1600.0,80.0,1,5,6836.0,4.0,175,176
4200.0,42.0,2.63,4.0,1600.0,80.0,1,5,2900.0,4.0,175,2
9500.0,76.0,3.96,4.0,2402.0,96.2,1,5,8910.0,4.0,134,136
11700.0,90.0,4.68,4.0,2500.0,96.2,1,5,11250.0,4.0,132,7
